feature,importance
num__IRRADIATION,0.9288274430016682
cat__PLANT_NO_2,0.024210445318736024
cat__PLANT_NO_1,0.019278583688284803
num__DAYOFYEAR,0.011237157746337129
num__DAYOFWEEK,0.0036244174253820755
num__AMBIENT_TEMPERATURE,0.0035349069317625807
num__MODULE_TEMPERATURE,0.0030246121092898743
num__HOUR_SIN,0.0026957766558650107
num__HOUR_COS,0.0017980207645133495
num__MONTH,0.0007879303803921182
num__HOUR,0.0005045045499727759
num__MINUTE,0.0004762014182587592
num__IS_DAYLIGHT,9.537355719647273e-12
